year,base_case,optimistic_case,accelerated_case
2026,32674.603762394,32449.040321795495,32900.1672029925
2027,33602.47923208236,33140.142853944075,34068.01832363245
2028,34556.70400025068,33845.96454897715,35277.32443845418
2029,35538.0263198198,34566.81889692833,36529.55706768169
2030,36547.21569218647,35303.026064569654,37826.23996581884
2031,37585.063470625915,36054.91303761347,39168.95097579993
2032,38652.383480829434,36822.8137659427,40559.32394895669
2033,39750.012659063774,37607.06931193447,41999.05073313788
2034,40878.81170845261,38408.028001942555,43489.88323140092
2035,42039.66577389465,39226.04558100628,45033.63553378048
