country,year,electricity_demand,electricity_generation,per_capita_electricity,demand_growth_pct
World,1900,,,,
World,1901,,,,
World,1902,,,,
World,1903,,,,
World,1904,,,,
World,1905,,,,
World,1906,,,,
World,1907,,,,
World,1908,,,,
World,1909,,,,
World,1910,,,,
World,1911,,,,
World,1912,,,,
World,1913,,,,
World,1914,,,,
World,1915,,,,
World,1916,,,,
World,1917,,,,
World,1918,,,,
World,1919,,,,
World,1920,,,,
World,1921,,,,
World,1922,,,,
World,1923,,,,
World,1924,,,,
World,1925,,,,
World,1926,,,,
World,1927,,,,
World,1928,,,,
World,1929,,,,
World,1930,,,,
World,1931,,,,
World,1932,,,,
World,1933,,,,
World,1934,,,,
World,1935,,,,
World,1936,,,,
World,1937,,,,
World,1938,,,,
World,1939,,,,
World,1940,,,,
World,1941,,,,
World,1942,,,,
World,1943,,,,
World,1944,,,,
World,1945,,,,
World,1946,,,,
World,1947,,,,
World,1948,,,,
World,1949,,,,
World,1950,,,,
World,1951,,,,
World,1952,,,,
World,1953,,,,
World,1954,,,,
World,1955,,,,
World,1956,,,,
World,1957,,,,
World,1958,,,,
World,1959,,,,
World,1960,,,,
World,1961,,,,
World,1962,,,,
World,1963,,,,
World,1964,,,,
World,1965,,,,
World,1966,,,,
World,1967,,,,
World,1968,,,,
World,1969,,,,
World,1970,,,,
World,1971,,,,
World,1972,,,,
World,1973,,,,
World,1974,,,,
World,1975,,,,
World,1976,,,,
World,1977,,,,
World,1978,,,,
World,1979,,,,
World,1980,,,,
World,1981,,,,
World,1982,,,,
World,1983,,,,
World,1984,,,,
World,1985,,9886.064,2030.433,
World,1986,,10180.79,2053.376,
World,1987,,10670.628,2113.102,
World,1988,,11140.627,2166.597,
World,1989,,11657.959,2227.168,
World,1990,,11961.414,2245.093,
World,1991,,12222.524,2255.604,
World,1992,,12336.403,2240.542,
World,1993,,12599.928,2253.389,
World,1994,,12923.577,2277.061,
World,1995,,13381.867,2323.693,
World,1996,,13797.155,2361.695,
World,1997,,14128.604,2384.66,
World,1998,,14511.013,2415.657,
World,1999,,14926.271,2451.348,
World,2000,15278.78,15278.78,2475.618,
World,2001,15500.83,15500.83,2478.176,1.4533228438396106
World,2002,16049.89,16049.89,2532.435,3.5421329051412043
World,2003,16628.01,16628.01,2589.887,3.6020184562012503
World,2004,17414.99,17414.99,2677.838,4.732857389429057
World,2005,18134.08,18134.08,2753.023,4.129143915672651
World,2006,18838.99,18838.99,2823.822,3.887211261889223
World,2007,19713.961,19713.961,2917.428,4.644468732134777
World,2008,20102.641,20102.641,2937.068,1.9715976916054645
World,2009,19943.51,19943.51,2876.703,-0.7915925076710129
World,2010,21263.75,21263.75,3028.277,6.61989790162314
World,2011,21972.029,21972.029,3089.898,3.3309223443654057
World,2012,22515.66,22515.66,3126.653,2.474195714924643
World,2013,23155.029,23155.029,3175.492,2.839663594138475
World,2014,23747.07,23747.07,3217.056,2.5568570870716734
World,2015,24002.35,24002.35,3212.954,1.0749957784265574
World,2016,24694.51,24694.51,3267.094,2.8837176359814753
World,2017,25441.039,25441.039,3327.532,3.023056541717173
World,2018,26464.49,26464.49,3423.651,4.022834916451323
World,2019,26832.42,26832.42,3435.08,1.390278066949313
World,2020,26723.369,26723.369,3388.28,-0.40641507549449285
World,2021,28259.07,28259.07,3552.612,5.746659412591293
World,2022,28917.76,28917.76,3605.073,2.3308976551599248
World,2023,29665.34,29665.34,3666.128,2.5851933206444855
World,2024,30930.23,30930.23,3789.553,4.263864833506026
World,2025,31772.35,31772.35,3859.796,2.7226438342036197
